DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC178,5235.0,BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,GCC,PRESCHOOL,331 CENTRAL AVENUE,BROOKLYN,11221,(718) 453-9040,2 YEARS - 5 YEARS,35,No,3075906.0,3033150001.0,304.0,37.0,41900.0,BK78,40.69480920943,-73.919401929932
DC44026,106599.0,Cuddles Center,GCC,INFANT TODDLER,329 BROADWAY,BROOKLYN,11211,(929) 329-1010,0 YEARS - 2 YEARS,105,No,3425870.0,3024627502.0,301.0,34.0,52700.0,BK73,40.707965798022,-73.95658745076
DC38209,104953.0,"ACADEMY OF HELLENIC PAIDEIA, INC",GCC,PRESCHOOL,25-50 CRESCENT STREET,QUEENS,11102,(718) 606-9005,2 YEARS - 5 YEARS,43,No,4541406.0,4008727502.0,401.0,22.0,6900.0,QN71,40.772147683019,-73.922239599287
DC39968,105420.0,LITTLE TULIP DAYCARE CENTER OF LITTLE NECK,GCC,PRESCHOOL,248-12 NORTHERN BOULEVARD,QUEENS,11362,(347) 827-0113,2 YEARS - 5 YEARS,77,Yes,4170638.0,4082140008.0,411.0,19.0,150701.0,QN45,40.7671233708,-73.739014088565
DC3017,7119.0,"BETHEL EMANUEL TEMPLE, INC.",GCC,PRESCHOOL,14-66 BEACH CHANNEL DRIVE,QUEENS,11691,(718) 327-1384,2 YEARS - 5 YEARS,38,No,4449690.0,4155010002.0,414.0,31.0,103201.0,QN15,40.609981026791,-73.753586966091
DC2029,1843.0,BLONDELL JOYNER DAY CARE CENTER,GCC,PRESCHOOL,901-909 TINTON AVENUE,BRONX,10456,(718) 665-7791,2 YEARS - 5 YEARS,40,Yes,2091959.0,2026380090.0,203.0,17.0,13300.0,BX35,40.821673516527,-73.903566913133
DC37909,104803.0,COMMONPOINT QUEENS,GCC,PRESCHOOL,6709 108TH ST,QUEENS,11375,(718) 268-5011,2 YEARS - 5 YEARS,124,No,4051865.0,4021760001.0,406.0,29.0,74100.0,QN17,40.728694335426,-73.847413237595
DC44413,106735.0,CONGREGATION BNOS CHAYA,GCC,INFANT TODDLER,471 NORTH GANNON AVENUE,STATEN ISLAND,10314,(347) 675-9194,0 YEARS - 2 YEARS,10,Yes,5019047.0,5007510252.0,501.0,50.0,18901.0,SI07,40.608041193556,-74.144750433463
DC39853,105309.0,EIS LAASOIS CHILD DEVELOPMENT SERVICES,GCC,PRESCHOOL,6202 15 AVENUE,BROOKLYN,11219,(718) 303-9400,2 YEARS - 5 YEARS,150,No,3141674.0,3057340045.0,311.0,43.0,25000.0,BK28,40.624952643634,-73.995435774185
DC14454,6055.0,"YELED V' YALDA EARLY CHILDHOOD CENTER, INC.",GCC,PRESCHOOL,6012 FARRAGUT ROAD,BROOKLYN,11236,(718) 209-1122,2 YEARS - 5 YEARS,94,No,3223428.0,3079820049.0,318.0,45.0,95000.0,BK50,40.63751445271,-73.919053441977
DC3102,7133.0,"KOG INDUSTRIES, INC.",GCC,INFANT TODDLER,61-58 SPRINGFIELD BOULEVARD,QUEENS,11364,(718) 352-8972,0 YEARS - 2 YEARS,28,No,4162215.0,4076100040.0,411.0,23.0,136700.0,QN42,40.748769215036,-73.75655443281
DC2090,7444.0,BRONX  EARLY CHILDHOOD CENTER,GCC,PRESCHOOL,1515 SOUTHERN BOULEVARD,BRONX,10460,(718) 764-2409,2 YEARS - 5 YEARS,79,Yes,2113511.0,2029770110.0,203.0,17.0,15500.0,BX75,40.833727148416,-73.889932809537
DC2321,5568.0,"PEE WEE FOLKS, Inc.",GCC,PRESCHOOL,12-45 CLINTONVILLE ST,QUEENS,11357,(718) 746-6107,2 YEARS - 5 YEARS,84,No,4102995.0,4045300018.0,407.0,19.0,98700.0,QN49,40.790165386132,-73.811829834372
DC37416,104635.0,SAINT DOMINIC'S FAMILY SERVICES,GCC,PRESCHOOL,2195 VALENTINE AVENUE,BRONX,10457,(347) 270-9219,2 YEARS - 5 YEARS,47,No,2013546.0,2031490140.0,205.0,15.0,38100.0,BX41,40.854886403605,-73.898981883407
DC42390,106427.0,JOY KID'S LEARNING HOUSE INC.,GCC,PRESCHOOL,213-54 35 AVENUE,QUEENS,11361,(718) 229-5888,2 YEARS - 5 YEARS,44,No,4136512.0,4061730013.0,411.0,19.0,112300.0,QN46,40.769024535226,-73.773455379812
DC22000,8401.0,BEIS CHAYA MUSHKA,GCC,INFANT TODDLER,1505 CARROLL STREET,BROOKLYN,11213,(718) 756-0770,0 YEARS - 2 YEARS,285,No,3037851.0,3014060044.0,309.0,35.0,33500.0,BK63,40.666464251842,-73.937549628229
DC38593,105479.0,BRIGHT HORIZONS AT WEST 53RD,GCC,PRESCHOOL,540 WEST 53 STREET,MANHATTAN,10019,(646) 348-9013,2 YEARS - 5 YEARS,97,Yes,1090139.0,1010817503.0,104.0,3.0,13500.0,MN15,40.767293581479,-73.992194926927
DC41129,105977.0,LUMINOUS EARLY CHILD CARE CENTER,GCC,PRESCHOOL,531 E 137TH STREET,BRONX,10454,(718) 215-4125,2 YEARS - 5 YEARS,39,No,2000053.0,2022650059.0,201.0,8.0,2500.0,BX39,40.806545374421,-73.918933779341
DC17105,8070.0,"HIGH HOPES OF STATEN ISLAND, INC.",GCC,PRESCHOOL,1298 WOODROW ROAD,STATEN ISLAND,10309,(718) 317-8143,2 YEARS - 5 YEARS,90,No,5085132.0,5069340101.0,503.0,51.0,20803.0,SI32,40.541625868853,-74.20846850504
DC1166,5867.0,"CHRIST THE KING CONTINUING EDUCATION, INC.",GCC,INFANT TODDLER,68-02 METROPOLITAN AVENUE,QUEENS,11379,(718) 417-6770,0 YEARS - 2 YEARS,62,Yes,4089211.0,4036670023.0,405.0,30.0,61301.0,QN20,40.712262196873,-73.888666056725
DC24683,24778.0,ADDIE MAE COLLINS COMMUNITY SERVICES INC.,GCC,PRESCHOOL,2322 THIRD AVE,MANHATTAN,10035,(212) 831-3144,2 YEARS - 5 YEARS,155,No,1054497.0,1017750033.0,111.0,8.0,24200.0,MN34,40.804458751467,-73.935259599242
DC14260,7054.0,"IMAGINE EARLY LEARNING CENTER, LLC",GCC,INFANT TODDLER,60-62 EAST 97TH STREET,MANHATTAN,10029,(212) 410-2077,0 YEARS - 2 YEARS,25,Yes,1051451.0,1016020044.0,111.0,8.0,16002.0,MN33,40.787559679159,-73.952888019361
DC37409,104590.0,SAINT DOMINIC'S FAMILY SERVICES,GCC,PRESCHOOL,2340 ANDREWS AVENUE,BRONX,10468,(718) 365-7238,2 YEARS - 5 YEARS,137,No,2094684.0,2032180035.0,207.0,14.0,25500.0,BX30,40.862276166853,-73.90658804223
DC24834,49798.0,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,GCC,PRESCHOOL,175 KENT AVENUE,BROOKLYN,11249,(718) 302-1113,2 YEARS - 5 YEARS,74,No,3396768.0,3023497501.0,301.0,33.0,55500.0,BK73,40.718296890852,-73.963871358562
DC18943,7942.0,EAST BRONX DAY CARE CENTER,GCC,PRESCHOOL,1113 COLGATE AVENUE,BRONX,10472,(718) 617-2900,2 YEARS - 5 YEARS,20,No,2023714.0,2037360001.0,209.0,17.0,5200.0,BX55,40.826283262286,-73.881508037871
DC44451,,Talmud Torah D'Chasidei Gur,SBCC,PRESCHOOL,6301 12 AVENUE,BROOKLYN,11219,(718) 923-3113,3 YEARS - 5 YEARS,NO DATA,No,3345686.0,3057390001.0,310.0,43.0,19400.0,BK30,40.62837819507,-74.002593853125
DC40296,106699.0,SIMFRAN ACADEMY,GCC,INFANT TODDLER,93 NORWOOD AVENUE,BROOKLYN,11208,(718) 235-3416,0 YEARS - 2 YEARS,9,No,3091404.0,3041130001.0,305.0,37.0,117400.0,BK83,40.683995683423,-73.879695843208
DC42542,106062.0,Innovators Prep LLC,GCC,PRESCHOOL,4312 CHURCH AVENUE,BROOKLYN,11203,(917) 297-6300,2 YEARS - 5 YEARS,139,No,3319769.0,3048970007.0,317.0,40.0,85800.0,BK91,40.651417022829,-73.936915079316
DC42984,106426.0,ONCE UPON A TIME,GCC,PRESCHOOL,68-05 64 PLACE,QUEENS,11385,(917) 846-7492,2 YEARS - 5 YEARS,38,No,4088248.0,4036330022.0,405.0,30.0,58100.0,QN20,40.705712255416,-73.893481258482
DC41178,105780.0,LUMINOUS EARLY CHILD CARE CENTER,GCC,PRESCHOOL,900 MORRIS PARK AVENUE,BRONX,10462,(347) 893-1670,2 YEARS - 5 YEARS,48,No,2044464.0,2040940001.0,211.0,13.0,24400.0,BX37,40.84669557706,-73.859322206334
DC14261,4899.0,STEPHEN WISE FREE SYNAGOGUE,GCC,INFANT TODDLER,30 WEST 68TH STREET,MANHATTAN,10023,(212) 877-4050,0 YEARS - 2 YEARS,10,No,1028249.0,1011200044.0,107.0,6.0,15300.0,MN14,40.774200504193,-73.97915301362
DC2682,5817.0,BRIGHT HORIZONS CHILDREN'S CENTERS,GCC,INFANT TODDLER,1271 AVENUE OF THE AMERICAS,MANHATTAN,10020,(315) 615-6352,0 YEARS - 2 YEARS,18,No,1022709.0,1010030029.0,105.0,4.0,13100.0,MN17,40.760282020579,-73.98015728348
DC2828,5818.0,BRIGHT HORIZONS CHILDREN'S CENTER,GCC,PRESCHOOL,1271 AVENUE OF THE AMERICAS,MANHATTAN,10020,(315) 615-6352,2 YEARS - 5 YEARS,15,No,1022709.0,1010030029.0,105.0,4.0,13100.0,MN17,40.760282020579,-73.98015728348
DC2022,7107.0,LPBC UPK Corp,GCC,PRESCHOOL,7524 14 AVENUE,BROOKLYN,11228,(718) 621-5458,2 YEARS - 5 YEARS,23,No,3160022.0,3062220045.0,310.0,38.0,19800.0,BK30,40.618776841211,-74.005435498865
DC2329,1964.0,COMMONPOINT QUEENS,GCC,PRESCHOOL,58-20 LITTLE NECK PARKWAY,QUEENS,11362,(718) 225-6750,2 YEARS - 5 YEARS,138,No,4173029.0,4083520051.0,411.0,23.0,152902.0,QN45,40.761569138024,-73.723120227739
DC40247,105694.0,"Petits Poussins Brooklyn, LLC",GCC,INFANT TODDLER,11 HOYT STREET,BROOKLYN,11201,(917) 825-8763,0 YEARS - 2 YEARS,34,No,3329438.0,3001577501.0,302.0,33.0,3700.0,BK38,40.690208914013,-73.985327481511
DC1779,5182.0,URBAN STRATEGIES DAY CARE CENTER #1,GCC,PRESCHOOL,1091 SUTTER AVENUE,BROOKLYN,11208,(718) 235-6151,2 YEARS - 5 YEARS,137,No,3089620.0,3040390001.0,305.0,42.0,119400.0,BK82,40.671884138031,-73.878196490769
DC2736,6174.0,"THE COLLEGE OF STATEN ISLAND ASSOCIATON, INC.",GCC,PRESCHOOL,2800E VICTORY BOULEVARD,STATEN ISLAND,10314,(718) 982-3190,2 YEARS - 5 YEARS,75,Yes,5107289.0,5020400001.0,502.0,50.0,27301.0,SI05,40.604270518624,-74.148516360898
DC41345,105962.0,A+ DAYCARE LLC,GCC,PRESCHOOL,105-25 65 ROAD,QUEENS,11375,(718) 204-0626,2 YEARS - 5 YEARS,20,No,4051460.0,4021517501.0,406.0,29.0,74300.0,QN17,40.730391854278,-73.850447368897
DC22669,22097.0,ITTY BITTY ADVENTURES LLC,GCC,PRESCHOOL,3416 AVENUE S,BROOKLYN,11234,(718) 355-8960,2 YEARS - 5 YEARS,40,No,3240855.0,3085200042.0,318.0,46.0,65800.0,BK45,40.608914335604,-73.932604760846
DC42421,,AL MADINAH SCHOOL,SBCC,PRESCHOOL,1835 BAY RIDGE PARKWAY,BROOKLYN,11204,(718) 222-4986,3 YEARS - 5 YEARS,NO DATA,No,3159712.0,3062160060.0,311.0,43.0,27400.0,BK28,40.612911263568,-73.995184479146
DC42462,106704.0,LAFAYETTE CHILD CARE CENTER LLC,GCC,PRESCHOOL,765 LAFAYETTE AVENUE,BROOKLYN,11221,(917) 776-2135,2 YEARS - 5 YEARS,16,No,3348295.0,3017870001.0,303.0,36.0,28100.0,BK35,40.690941807469,-73.942095375316
DC25981,51657.0,LA PUERTA ABIERTA,GCC,PRESCHOOL,3001 WEST 37TH STREET,BROOKLYN,11224,(718) 266-5333,2 YEARS - 5 YEARS,169,No,3189617.0,3070650001.0,313.0,47.0,34000.0,BK21,40.573169559536,-74.002508910504
DC44073,106705.0,EAST 156 DAYCARE LLC,GCC,PRESCHOOL,780 SAINT ANNS AVENUE,BRONX,10456,(973) 464-7292,2 YEARS - 5 YEARS,20,No,2117695.0,2026187501.0,201.0,17.0,7500.0,BX34,40.820169331838,-73.910260374772
DC24680,91439.0,SUNSHINE LC OF 3RD AVE LLC,GCC,PRESCHOOL,2205 THIRD AVENUE,MANHATTAN,10035,(646) 757-3168,2 YEARS - 5 YEARS,109,No,1088601.0,1017857502.0,111.0,8.0,19400.0,MN34,40.800642335343,-73.938030066433
DC14148,6175.0,THE COLLEGE OF STATEN ISLAND ASSOCIATION INC.,GCC,INFANT TODDLER,2800E VICTORY BOULEVARD,STATEN ISLAND,10314,(718) 982-3190,0 YEARS - 2 YEARS,18,Yes,5107289.0,5020400001.0,502.0,50.0,27301.0,SI05,40.604270518624,-74.148516360898
DC22793,53540.0,"WORLDWIDE ENTITIES, LLC",GCC,PRESCHOOL,50 OSAGE LANE,STATEN ISLAND,10312,(718) 227-2500,2 YEARS - 5 YEARS,95,Yes,5167549.0,5053730001.0,503.0,51.0,15602.0,SI01,40.53287293488,-74.160707010401
DC411,5228.0,PRACTICAL LEARNING CENTER (P/S),GCC,PRESCHOOL,22-32 BUCKINGHAM ROAD,BROOKLYN,11226,(718) 282-4200,2 YEARS - 5 YEARS,96,No,3328169.0,3050760014.0,314.0,40.0,50600.0,BK42,40.649974357353,-73.965151790669
DC32861,103650.0,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,GCC,PRESCHOOL,42-09 28TH STREET,QUEENS,11101,(718) 361-6414,2 YEARS - 5 YEARS,60,No,4538327.0,4004207501.0,402.0,26.0,1900.0,QN31,40.749634394008,-73.939135181882
DC21573,8322.0,LITTLE BERRIES INC,GCC,PRESCHOOL,8416 19 AVENUE,BROOKLYN,11214,(929) 333-9595,2 YEARS - 5 YEARS,31,No,3165323.0,3063320042.0,311.0,38.0,27800.0,BK28,40.606946944107,-73.999409368292
DC1297,5570.0,Lucille Rose Day Care Center,GCC,PRESCHOOL,148 BEACH 59 STREET,QUEENS,11692,(718) 634-0331,2 YEARS - 5 YEARS,55,No,4618757.0,4159260001.0,414.0,31.0,97202.0,QN12,40.590439716571,-73.7887357309
DC40808,105641.0,A KIDS SPACE TO DREAM,GCC,INFANT TODDLER,578 E 138TH ST,BRONX,10454,(347) 862-2465,0 YEARS - 2 YEARS,46,No,2092841.0,2025500012.0,201.0,8.0,2701.0,BX39,40.806579646925,-73.916961444748
DC17714,7900.0,SIMFRAN ACADEMY,GCC,PRESCHOOL,93 NORWOOD AVENUE,BROOKLYN,11208,(718) 235-3416,2 YEARS - 5 YEARS,35,No,3091404.0,3041130001.0,305.0,37.0,117400.0,BK83,40.683995683423,-73.879695843208
DC14364,6004.0,"IMAGINE EARLY LEARNING CENTERS, LLC",GCC,INFANT TODDLER,423 EAST 23 STREET,MANHATTAN,10010,(212) 951-3435,0 YEARS - 2 YEARS,18,Yes,1081691.0,1009550005.0,106.0,4.0,6200.0,MN20,40.73648450538,-73.977786434808
DC35339,104037.0,"CHINESE-AMERICAN PLANNING COUNCIL, INC.",GCC,PRESCHOOL,133-14 41  AVENUE,QUEENS,11355,(718) 358-8899,2 YEARS - 5 YEARS,39,Yes,4617434.0,4050410005.0,407.0,20.0,84900.0,QN22,40.756971609708,-73.832177224694
DC40807,105642.0,A KIDS SPACE TO DREAM CHILDCARE,GCC,PRESCHOOL,578 EAST  138 STREET,BRONX,10454,(347) 318-7375,2 YEARS - 5 YEARS,77,No,2092841.0,2025500012.0,201.0,8.0,2701.0,BX39,40.806579646925,-73.916961444748
DC41245,105868.0,JOY LEARNING GARDEN II,GCC,PRESCHOOL,20-16 COLLEGE POINT BOULEVARD,QUEENS,11356,(347) 990-5638,2 YEARS - 5 YEARS,39,No,4595538.0,4041640027.0,407.0,19.0,92500.0,QN23,40.781197005898,-73.845978099527
DC42025,106500.0,All My Children Day Care and Nursery School,GCC,PRESCHOOL,163 EAST   84 STREET,MANHATTAN,10028,(929) 484-4670,2 YEARS - 5 YEARS,45,No,1047676.0,1015130029.0,108.0,4.0,14801.0,MN40,40.777899334622,-73.955873703612
DC2424,5050.0,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,GCC,PRESCHOOL,235 EAST 11 STREET,MANHATTAN,10003,(212) 777-3240,2 YEARS - 5 YEARS,72,No,1006849.0,1004677501.0,103.0,2.0,4000.0,MN22,40.73079880782,-73.987364320723
DC39286,105296.0,"Vivvi 4, LLC",GCC,INFANT TODDLER,55 HUDSON YARDS,MANHATTAN,10001,(212) 561-8914,0 YEARS - 2 YEARS,36,No,1089412.0,1007050001.0,104.0,3.0,9900.0,MN13,40.755439214916,-74.002219825347
DC19160,7972.0,"NORTHEAST BRONX DAY CARE CENTER,INC.",GCC,PRESCHOOL,3440 WHITE PLAINS RD.,BRONX,10467,(718) 655-5500,2 YEARS - 5 YEARS,60,No,2093518.0,2046290050.0,212.0,12.0,37400.0,BX44,40.876207824152,-73.866976191563
DC32515,74857.0,"BUMBLEBEES-R-US, INC.",GCC,PRESCHOOL,5721 6TH  AVENUE,BROOKLYN,11220,(718) 633-8828,2 YEARS - 5 YEARS,169,No,3015780.0,3008490001.0,307.0,43.0,10200.0,BK34,40.63968057262,-74.012355325985
